Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Facilitating Reforestation for Guangxi Watershed Management in Pearl River Basin","KNGJ1V3IYZYVJKLSQLNHTZ02F9QCM4","WB-CF, Joanneum Research","CDM Registry","CDM - AR-AM0001","Afforestation and reforestation","China",Registered,2006-04-01T00:00:00.000Z,2036-03-31T00:00:00.000Z,450527,450527,48276,402251
"Grouped project for reforestation on degraded and non-forest lands","2531","EKI Energy Services Limited","Verra","AR-AM0014","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Multi-Species Reforestation in Mato Grosso, Brazil","665","Not specified","Verra","AR-AMS0006","Agriculture; forestry and fishing","Brazil",Registered,,,0,513482,338108,175374
"Reforestation of Degraded Lands in Sierra Leone","2401","Miro Forestry Developments Limited","Verra","AR-AM0003","Agriculture; forestry and fishing","Sierra Leone",Listed,,,0,578870,328612,250258
"IMPACT REFORESTATION IN THE CHACO PROJECT","2496","Investancia Paraguay S.A.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Paraguay",Registered,,,0,0,0,0
"Afforestation and Reforestation on Degraded Lands in Northwest Sichuan, China","1BRLOQ1EAXAY6BE0LOTZOIPBKJ5RA3","Conservation International, The Nature Conservancy","CDM Registry","CDM - AR-AM0003","Afforestation and reforestation","China",Registered,2007-01-04T00:00:00.000Z,2027-01-03T00:00:00.000Z,0,0,0,0
"Mangrove afforestation and reforestation project in Cambodia","5071","Not specified","Verra","VCS-VM0033","Agriculture; forestry and fishing","Cambodia",Listed,,,0,0,0,0
"Reforestation in Mountanous Communities of Yunnan","GS2466","Initiative Developpement","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","China",Registered,,,0,0,0,0
"Land Life Reforestation and Restoration of Degraded Land in Spain - B","4739","Deeprock Net Zero Technology (Shenzhen) Co.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Spain",Listed,,,0,0,0,0
"GHG Programme-Afforestation and Reforestation Group2","5KETTQG0QD22UWHZA4465KXKLE6KU9","NA","CDM Registry","CDM - AR-ACM0003","NA","Mozambique",Validated,2020-02-19T00:00:00.000Z,2027-02-18T00:00:00.000Z,0,0,0,0
"Small-scale Reforestation for Landscape Restoration.","SGHEJBI0Y6FB6YO5DU8V1LA4LEZZAL","Beijing Arreon Corporation","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","China",Validated,2007-06-01T00:00:00.000Z,2037-05-31T12:00:00.000Z,0,0,0,0
"Land Life Reforestation and Restoration of Degraded Land in Spain - A","4741","Defined B.V.","Verra","AR-AM0003","Agriculture; forestry and fishing","Spain",Listed,,,0,0,0,0
"Reforestation grouped project Norteak Nicaragua","2647","Norteak Nicaragua S.A.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Nicaragua",Listed,,,0,29419,0,29419
"Urban reforestation and revegetation in the UK","4936","Carbon Heroes ltd","Verra","VM0047","Agriculture; forestry and fishing","United Kingdom",Listed,,,0,0,0,0
"Reforestation of deforested land in Madagascar","1327","EcoFormation","Verra","AR-ACM0003","Agriculture; forestry and fishing","Madagascar",Registered,,,0,0,0,0
